time,coverage,bug,tests,unique bugs
12.0,1,0,1,0
24.0,69,0,139,0
36.0,81,0,281,0
48.0,97,0,424,0
60.0,105,0,567,0
72.0,114,0,711,0
84.0,120,0,854,0
96.0,124,0,992,0
108.0,128,0,1131,0
120.0,151,0,1268,0
132.0,180,0,1400,0
144.0,229,0,1535,0
156.0,285,0,1668,0
168.0,346,0,1807,0
180.0,389,0,1940,0
192.0,440,0,2077,0
204.0,486,0,2215,0
216.0,545,0,2353,0
228.0,601,0,2492,0
240.0,642,0,2630,0
252.0,706,0,2768,0
264.0,750,0,2905,0
276.0,798,0,3042,0
288.0,854,0,3181,0
300.0,898,0,3316,0
312.0,925,0,3454,0
324.0,958,0,3592,0
336.0,996,0,3730,0
348.0,1027,0,3869,0
360.0,1050,0,4007,0
372.0,1062,0,4145,0
384.0,1088,0,4278,0
396.0,1107,0,4410,0
408.0,1134,0,4549,0
420.0,1161,0,4688,0
432.0,1191,0,4825,0
444.0,1208,0,4957,0
456.0,1216,0,5065,0
468.0,1235,0,5203,0
480.0,1254,0,5342,0
492.0,1275,0,5480,0
504.0,1297,0,5618,0
516.0,1318,0,5757,0
528.0,1337,0,5895,0
540.0,1357,0,6033,0
552.0,1376,0,6171,0
564.0,1396,0,6309,0
576.0,1412,0,6446,0
588.0,1447,0,6584,0
600.0,1470,0,6722,0
612.0,1483,0,6860,0
624.0,1505,0,6998,0
636.0,1518,0,7137,0
648.0,1531,0,7272,0
660.0,1545,0,7410,0
672.0,1562,0,7547,0
684.0,1584,0,7684,0
696.0,1600,0,7822,0
708.0,1617,0,7960,0
720.0,1628,0,8098,0
732.0,1645,0,8236,0
744.0,1663,0,8373,0
756.0,1692,0,8509,0
768.0,1726,0,8647,0
780.0,1748,0,8785,0
792.0,1756,0,8922,0
804.0,1760,0,9060,0
816.0,1773,0,9198,0
828.0,1788,0,9336,0
840.0,1814,0,9474,0
852.0,1841,0,9612,0
864.0,1870,0,9751,0
876.0,1889,0,9889,0
888.0,1906,0,10027,0
900.0,1918,0,10165,0
912.0,1920,0,10302,0
924.0,1927,0,10441,0
936.0,1936,0,10579,0
948.0,1944,0,10717,0
960.0,1950,0,10855,0
972.0,1957,0,10993,0
984.0,1976,0,11131,0
996.0,1992,0,11268,0
1008.0,2000,0,11406,0
1020.0,2006,0,11544,0
1032.0,2008,0,11682,0
1044.0,2026,0,11819,0
1056.0,2042,0,11951,0
1068.0,2061,0,12089,0
1080.0,2094,0,12227,0
1092.0,2115,0,12364,0
1104.0,2125,0,12503,0
1116.0,2132,0,12642,0
1128.0,2149,0,12779,0
1140.0,2159,0,12917,0
1152.0,2174,0,13056,0
1164.0,2186,0,13173,0
1176.0,2196,0,13300,0
1188.0,2203,0,13439,0
1200.0,2213,0,13574,0
1212.0,2220,0,13712,0
1224.0,2246,0,13851,0
1236.0,2258,0,13984,0
1248.0,2276,0,14089,0
1260.0,2287,0,14207,0
1272.0,2293,0,14345,0
1284.0,2305,0,14481,0
1296.0,2312,0,14619,0
1308.0,2315,0,14758,0
1320.0,2319,0,14896,0
1332.0,2330,0,15033,0
1344.0,2348,0,15171,0
1356.0,2361,0,15309,0
1368.0,2375,0,15447,0
1380.0,2386,0,15586,0
1392.0,2393,0,15725,0
1404.0,2397,0,15864,0
1416.0,2404,0,15982,0
1428.0,2417,0,16120,0
1440.0,2434,0,16259,0
1452.0,2446,0,16397,0
1464.0,2481,0,16535,0
1476.0,2488,0,16674,0
1488.0,2496,0,16812,0
1500.0,2502,0,16941,0
1512.0,2520,0,17079,0
1524.0,2537,0,17217,0
1536.0,2547,0,17356,0
1548.0,2563,0,17489,0
1560.0,2578,0,17628,0
1572.0,2590,0,17767,0
1584.0,2593,0,17906,0
1596.0,2610,0,18046,0
1608.0,2627,0,18184,0
1620.0,2639,0,18323,0
1632.0,2646,0,18461,0
1644.0,2662,0,18597,0
1656.0,2667,0,18735,0
1668.0,2681,0,18873,0
1680.0,2684,0,19012,0
1692.0,2694,0,19151,0
1704.0,2709,0,19288,0
1716.0,2740,0,19425,0
1728.0,2756,0,19563,0
1740.0,2772,0,19702,0
1752.0,2786,0,19840,0
1764.0,2815,0,19974,0
1776.0,2828,0,20114,0
1788.0,2836,0,20252,0
