time,coverage,bug
1.0,1,0,1
2.0,4,0,10
3.0,8,0,20
4.0,10,0,30
5.0,13,0,40
6.0,15,0,50
7.0,22,0,60
8.0,28,0,70
9.0,31,0,80
10.0,36,0,90
11.0,39,0,100
12.0,43,0,110
13.0,49,0,120
14.0,50,0,130
15.0,52,0,140
16.0,55,0,150
17.0,62,0,160
18.0,65,0,170
19.0,70,0,180
20.0,74,0,189
21.0,77,0,199
22.0,81,0,209
23.0,84,0,218
24.0,86,0,228
25.0,94,0,238
26.0,95,0,248
27.0,101,0,257
28.0,107,0,267
29.0,109,0,277
30.0,111,0,287
31.0,114,0,297
32.0,116,0,307
33.0,118,0,317
34.0,120,0,327
35.0,123,0,337
36.0,125,0,346
37.0,129,0,356
38.0,131,0,366
39.0,135,0,376
40.0,138,0,385
41.0,140,0,395
42.0,144,0,405
43.0,150,0,415
44.0,153,0,425
45.0,157,0,435
46.0,157,0,445
47.0,160,0,455
48.0,160,0,465
49.0,168,0,475
50.0,170,0,484
51.0,172,0,494
52.0,173,0,504
53.0,175,0,514
54.0,177,0,524
55.0,177,0,533
56.0,181,0,543
57.0,183,0,553
58.0,184,0,563
59.0,187,0,572
60.0,188,0,582
61.0,188,0,592
62.0,189,0,602
63.0,191,0,612
64.0,193,0,622
65.0,195,0,632
66.0,198,0,642
67.0,199,0,652
68.0,200,0,662
69.0,200,0,672
70.0,201,0,681
71.0,201,0,691
72.0,201,0,701
73.0,203,0,711
74.0,204,0,720
75.0,207,0,730
76.0,208,0,740
77.0,210,0,750
78.0,212,0,760
79.0,216,0,770
80.0,218,0,780
81.0,222,0,790
82.0,226,0,800
83.0,231,0,809
84.0,234,0,819
85.0,238,0,829
86.0,240,0,839
87.0,241,0,848
88.0,243,0,858
89.0,244,0,868
90.0,245,0,878
91.0,245,0,888
92.0,246,0,898
93.0,248,0,908
94.0,249,0,918
95.0,251,0,927
96.0,255,0,937
97.0,256,0,947
98.0,260,0,957
99.0,263,0,967
100.0,264,0,977
