time,coverage,bug
1.0,1,0,1
2.0,4,0,10
3.0,10,0,20
4.0,11,0,30
5.0,14,0,40
6.0,17,0,50
7.0,19,0,59
8.0,22,0,69
9.0,23,0,79
10.0,26,0,89
11.0,31,0,99
12.0,37,0,109
13.0,41,0,119
14.0,44,0,129
15.0,46,0,138
16.0,47,0,148
17.0,53,0,158
18.0,58,0,168
19.0,61,0,177
20.0,62,0,187
21.0,67,0,197
22.0,70,0,207
23.0,75,0,217
24.0,80,0,227
25.0,84,0,236
26.0,87,0,246
27.0,93,0,256
28.0,96,0,266
29.0,102,0,276
30.0,106,0,286
31.0,108,0,296
32.0,112,0,305
33.0,115,0,315
34.0,117,0,325
35.0,117,0,335
36.0,120,0,345
37.0,125,0,354
38.0,129,0,364
39.0,134,0,374
40.0,136,0,384
41.0,137,0,394
42.0,140,0,404
43.0,143,0,414
44.0,145,0,423
45.0,149,0,433
46.0,153,0,443
47.0,154,0,453
48.0,155,0,463
49.0,155,0,473
50.0,155,0,482
51.0,156,0,492
52.0,159,0,502
53.0,166,0,512
54.0,170,0,522
55.0,171,0,532
56.0,174,0,542
57.0,177,0,552
58.0,179,0,562
59.0,184,0,572
60.0,188,0,582
61.0,190,0,592
62.0,191,0,602
63.0,192,0,612
64.0,195,0,621
65.0,196,0,631
66.0,197,0,641
67.0,197,0,651
68.0,198,0,661
69.0,199,0,671
70.0,201,0,681
71.0,202,0,691
72.0,205,0,701
73.0,209,0,711
74.0,210,0,721
75.0,212,0,731
76.0,214,0,741
77.0,218,0,751
78.0,222,0,760
79.0,223,0,770
80.0,225,0,780
81.0,226,0,790
82.0,226,0,800
83.0,231,0,810
84.0,235,0,820
85.0,239,0,830
86.0,242,0,839
87.0,245,0,849
88.0,250,0,859
89.0,252,0,869
90.0,255,0,879
91.0,257,0,889
92.0,257,0,899
93.0,263,0,909
94.0,264,0,919
95.0,266,0,929
96.0,270,0,939
97.0,270,0,949
98.0,277,0,959
99.0,278,0,968
100.0,280,0,978
