time,coverage,bug
1.0,1,0,1
2.0,4,0,10
3.0,8,0,20
4.0,9,0,30
5.0,10,0,40
6.0,11,0,50
7.0,15,0,60
8.0,18,0,70
9.0,22,0,80
10.0,26,0,90
11.0,29,0,100
12.0,36,0,110
13.0,41,0,120
14.0,41,0,130
15.0,45,0,140
16.0,46,0,150
17.0,50,0,160
18.0,53,0,170
19.0,56,0,180
20.0,58,0,189
21.0,62,0,199
22.0,66,0,209
23.0,69,0,219
24.0,71,0,229
25.0,75,0,239
26.0,77,0,248
27.0,78,0,258
28.0,81,0,268
29.0,83,0,278
30.0,87,0,289
31.0,89,0,298
32.0,94,0,308
33.0,99,0,318
34.0,103,0,328
35.0,104,0,338
36.0,105,0,348
37.0,112,0,357
38.0,117,0,367
39.0,119,0,377
40.0,121,0,386
41.0,122,0,396
42.0,125,0,406
43.0,127,0,416
44.0,128,0,425
45.0,131,0,435
46.0,132,0,445
47.0,133,0,455
48.0,138,0,465
49.0,142,0,475
50.0,144,0,485
51.0,145,0,494
52.0,149,0,504
53.0,151,0,514
54.0,151,0,524
55.0,151,0,534
56.0,152,0,544
57.0,154,0,553
58.0,159,0,563
59.0,166,0,573
60.0,168,0,583
61.0,171,0,593
62.0,174,0,603
63.0,178,0,613
64.0,181,0,623
65.0,183,0,633
66.0,186,0,643
67.0,189,0,652
68.0,192,0,662
69.0,195,0,672
70.0,196,0,682
71.0,196,0,691
72.0,199,0,701
73.0,202,0,711
74.0,203,0,721
75.0,203,0,731
76.0,203,0,741
77.0,203,0,750
78.0,204,0,760
79.0,207,0,770
80.0,207,0,780
81.0,208,0,790
82.0,209,0,800
83.0,214,0,809
84.0,217,0,819
85.0,219,0,829
86.0,222,0,839
87.0,224,0,849
88.0,229,0,859
89.0,230,0,869
90.0,231,0,878
91.0,236,0,888
92.0,237,0,898
93.0,244,0,908
94.0,249,0,918
95.0,250,0,928
96.0,253,0,938
97.0,255,0,948
98.0,257,0,957
99.0,261,0,967
100.0,261,0,977
