time,coverage,bug
303.0,55,0,2326
304.0,55,0,2334
305.0,56,0,2341
306.0,56,0,2349
307.0,56,0,2356
308.0,56,0,2363
309.0,56,0,2371
310.0,56,0,2378
311.0,56,0,2385
312.0,56,0,2392
313.0,56,0,2399
314.0,56,0,2406
315.0,56,0,2413
316.0,57,0,2421
317.0,57,0,2428
318.0,57,0,2436
319.0,57,0,2444
320.0,58,0,2452
321.0,58,0,2459
322.0,58,0,2468
323.0,58,0,2475
324.0,59,0,2483
325.0,59,0,2491
326.0,59,0,2499
327.0,59,0,2507
328.0,59,0,2516
329.0,59,0,2524
330.0,59,0,2532
331.0,59,0,2540
332.0,59,0,2548
333.0,59,0,2556
334.0,59,0,2563
335.0,59,0,2571
336.0,59,0,2579
337.0,59,0,2587
338.0,59,0,2595
339.0,59,0,2602
340.0,59,0,2610
341.0,59,0,2618
342.0,60,0,2625
343.0,60,0,2632
344.0,60,0,2639
345.0,60,0,2647
346.0,60,0,2654
347.0,60,0,2662
348.0,60,0,2670
349.0,60,0,2678
350.0,60,0,2686
351.0,60,0,2694
352.0,60,0,2702
353.0,60,0,2710
354.0,60,0,2718
355.0,61,0,2726
356.0,61,0,2734
357.0,61,0,2742
358.0,61,0,2750
359.0,62,0,2758
360.0,62,0,2766
361.0,62,0,2774
362.0,62,0,2782
363.0,63,0,2790
364.0,63,0,2797
365.0,63,0,2805
366.0,63,0,2813
367.0,63,0,2820
368.0,63,0,2828
369.0,63,0,2836
370.0,63,0,2844
371.0,63,0,2852
372.0,63,0,2859
373.0,63,0,2866
374.0,63,0,2873
375.0,63,0,2880
376.0,63,0,2887
377.0,63,0,2895
378.0,63,0,2903
379.0,63,0,2910
380.0,63,0,2918
381.0,63,0,2925
382.0,63,0,2933
383.0,63,0,2941
384.0,63,0,2948
385.0,63,0,2956
386.0,63,0,2964
387.0,63,0,2972
388.0,63,0,2980
389.0,63,0,2988
390.0,63,0,2996
391.0,63,0,3004
392.0,63,0,3012
393.0,63,0,3020
394.0,63,0,3028
395.0,63,0,3036
396.0,63,0,3044
397.0,63,0,3052
398.0,63,0,3060
399.0,63,0,3068
400.0,63,0,3075
401.0,63,0,3083
402.0,63,0,3091
403.0,63,0,3098
404.0,63,0,3105
405.0,63,0,3113
406.0,63,0,3120
407.0,63,0,3127
408.0,63,0,3135
409.0,63,0,3143
410.0,63,0,3151
411.0,63,0,3159
412.0,63,0,3167
413.0,63,0,3175
414.0,63,0,3183
415.0,63,0,3191
416.0,63,0,3199
417.0,63,0,3207
418.0,63,0,3215
419.0,63,0,3223
420.0,63,0,3230
421.0,63,0,3238
422.0,63,0,3246
423.0,64,0,3254
424.0,64,0,3262
425.0,64,0,3269
426.0,64,0,3277
427.0,64,0,3285
428.0,64,0,3293
429.0,64,0,3301
430.0,64,0,3309
431.0,64,0,3317
432.0,64,0,3324
433.0,64,0,3331
434.0,64,0,3338
435.0,64,0,3345
436.0,64,0,3353
437.0,64,0,3360
438.0,64,0,3367
439.0,64,0,3375
440.0,65,0,3383
441.0,65,0,3391
442.0,65,0,3399
443.0,65,0,3407
444.0,65,0,3415
445.0,65,0,3423
446.0,65,0,3431
447.0,65,0,3439
448.0,65,0,3447
449.0,65,0,3455
450.0,65,0,3463
451.0,65,0,3471
452.0,65,0,3479
453.0,65,0,3487
454.0,65,0,3495
455.0,65,0,3503
456.0,65,0,3512
457.0,65,0,3520
458.0,65,0,3528
459.0,65,0,3536
460.0,65,0,3543
461.0,65,0,3551
462.0,65,0,3558
463.0,65,0,3566
464.0,65,0,3573
465.0,65,0,3580
466.0,65,0,3588
467.0,65,0,3595
468.0,65,0,3603
469.0,65,0,3610
470.0,65,0,3618
471.0,65,0,3626
472.0,65,0,3634
473.0,65,0,3642
474.0,65,0,3650
475.0,65,0,3658
476.0,65,0,3666
477.0,65,0,3673
478.0,65,0,3681
479.0,65,0,3689
480.0,65,0,3697
481.0,65,0,3705
482.0,65,0,3712
483.0,65,0,3720
484.0,65,0,3728
485.0,65,0,3736
486.0,65,0,3744
487.0,65,0,3752
488.0,65,0,3759
489.0,65,0,3767
490.0,65,0,3775
491.0,65,0,3783
492.0,65,0,3791
493.0,65,0,3798
494.0,65,0,3805
495.0,66,0,3812
496.0,66,0,3819
497.0,66,0,3827
498.0,66,0,3833
499.0,66,0,3841
500.0,66,0,3849
501.0,66,0,3856
502.0,66,0,3864
503.0,66,0,3871
504.0,66,0,3879
505.0,66,0,3887
506.0,66,0,3895
507.0,66,0,3903
508.0,66,0,3910
509.0,66,0,3918
510.0,67,0,3926
511.0,68,0,3934
512.0,68,0,3942
513.0,68,0,3949
514.0,68,0,3957
515.0,68,0,3965
516.0,68,0,3973
517.0,68,0,3981
518.0,68,0,3988
519.0,68,0,3996
520.0,68,0,4004
521.0,68,0,4011
522.0,68,0,4019
523.0,68,0,4026
